f_date,cnt_stat_date,s_cnt_stat_date,cnt_stat_week_of_year,cnt_stat_week_day,union_chann_id,cnt
20191030,20190928,2019-09-28,39,6,127,35475
20191030,20191027,2019-10-27,43,7,107,9754
20191030,20191012,2019-10-12,41,6,118,47406
20191030,20191027,2019-10-27,43,7,132,76449
20191030,20190917,2019-09-17,38,2,108,35859
20191030,20191008,2019-10-08,41,2,118,48724
20191030,20190914,2019-09-14,37,6,118,40222
20191030,20191031,2019-10-31,44,4,102,29
20191030,20191026,2019-10-26,43,6,130,17958
20191030,20191031,2019-10-31,44,4,118,28
20191030,20191004,2019-10-04,40,5,102,17864
20191030,20191006,2019-10-06,40,7,118,36048
20191030,20191003,2019-10-03,40,4,127,32713
20191030,20190927,2019-09-27,39,5,102,21690
20191030,20190927,2019-09-27,39,5,101,54065
20191030,20190930,2019-09-30,40,1,127,41895
20191030,20190910,2019-09-10,37,2,130,27122
20191030,20190909,2019-09-09,37,1,107,11075
20191030,20191021,2019-10-21,43,1,132,92736
20191030,20191016,2019-10-16,42,3,107,10520
20191030,20190911,2019-09-11,37,3,121,136922
20191030,20190922,2019-09-22,38,7,118,64997
20191030,20191013,2019-10-13,41,7,118,43315
20191030,20190912,2019-09-12,37,4,127,33914
20191030,20190910,2019-09-10,37,2,108,38989
20191030,20191002,2019-10-02,40,3,130,15083
20191030,20191006,2019-10-06,40,7,125,16190
20191030,20191011,2019-10-11,41,5,121,139045
20191030,20191026,2019-10-26,43,6,118,42351
20191030,20190914,2019-09-14,37,6,130,16196
20191030,20190919,2019-09-19,38,4,107,9319
